"t_id" "cadd" "group"
"1" "ENST00000000233.10" 1.81967109090909 "5'UTR"
"2" "ENST00000000412.8" 1.66614568459916 "5'UTR"
"3" "ENST00000000442.11" 1.96210466314554 "5'UTR"
"4" "ENST00000001008.6" 1.02073244313725 "5'UTR"
"5" "ENST00000001146.7" 2.17812275 "5'UTR"
"6" "ENST00000002125.9" 0.368165958333333 "5'UTR"
"7" "ENST00000002165.11" 0.44052753875969 "5'UTR"
"8" "ENST00000002501.11" 1.07467952173913 "5'UTR"
"9" "ENST00000002596.6" 0.748170064562863 "5'UTR"
"10" "ENST00000002829.8" 1.61256439679864 "5'UTR"
"11" "ENST00000003084.11" 1.30627717142857 "5'UTR"
"12" "ENST00000003100.13" 0.935280873156342 "5'UTR"
"13" "ENST00000004103.8" 0.611984319444445 "5'UTR"
"14" "ENST00000004982.6" 1.4190916031746 "5'UTR"
"15" "ENST00000005178.6" 0.78756108819133 "5'UTR"
"16" "ENST00000005180.9" 0.304357857142857 "5'UTR"
"17" "ENST00000005226.12" 0.604385244648318 "5'UTR"
"18" "ENST00000005257.7" 1.13634766721643 "5'UTR"
"19" "ENST00000005259.9" 1.33402105059524 "5'UTR"
"20" "ENST00000005260.9" 1.11929230812325 "5'UTR"
"21" "ENST00000005284.4" 1.52379093174603 "5'UTR"
"22" "ENST00000005340.10" 0.998062520261438 "5'UTR"
"23" "ENST00000005386.8" 0.805239811533051 "5'UTR"
"24" "ENST00000005756.5" 0.451525953900709 "5'UTR"
"25" "ENST00000005995.8" 0.699508552083334 "5'UTR"
"26" "ENST00000006015.4" 2.20067513257576 "5'UTR"
"27" "ENST00000006053.7" 0.610666970464135 "5'UTR"
"28" "ENST00000006658.11" 0.784532523809524 "5'UTR"
"29" "ENST00000006750.8" 0.888603823809524 "5'UTR"
"30" "ENST00000006777.11" 0.649209469387755 "5'UTR"
"31" "ENST00000007264.7" 0.632282806878307 "5'UTR"
"32" "ENST00000007390.3" 0.408345189189189 "5'UTR"
"33" "ENST00000007414.8" 1.25256836171256 "5'UTR"
"34" "ENST00000007510.9" 2.22402110877193 "5'UTR"
"35" "ENST00000007516.8" 1.59227798717949 "5'UTR"
"36" "ENST00000007699.10" 1.25059339328537 "5'UTR"
"37" "ENST00000007735.4" 0.491551551912568 "5'UTR"
"38" "ENST00000008391.4" 1.7206794345912 "5'UTR"
"39" "ENST00000008527.10" 1.26639260770975 "5'UTR"
"40" "ENST00000008938.5" 0.207639635416667 "5'UTR"
"41" "ENST00000009041.12" 1.35047483281086 "5'UTR"
"42" "ENST00000009180.10" 0.901296296666667 "5'UTR"
"43" "ENST00000009530.13" 1.38556632505176 "5'UTR"
"44" "ENST00000009589.8" 1.61132857723577 "5'UTR"
"45" "ENST00000011292.8" 0.445330765432099 "5'UTR"
"46" "ENST00000011619.6" 1.13980067575758 "5'UTR"
"47" "ENST00000011653.9" 0.546939335636631 "5'UTR"
"48" "ENST00000011691.6" 0.591799956140351 "5'UTR"
"49" "ENST00000011898.10" 1.5341959237915 "5'UTR"
"50" "ENST00000012049.10" 1.29945788596491 "5'UTR"
"51" "ENST00000012443.9" 2.2578083 "5'UTR"
"52" "ENST00000013070.11" 1.59713067592593 "5'UTR"
"53" "ENST00000013222.5" 0.665666041666667 "5'UTR"
"54" "ENST00000014914.6" 0.772316497919556 "5'UTR"
"55" "ENST00000014930.9" 0.663224549668874 "5'UTR"
"56" "ENST00000016171.6" 0.47393814957265 "5'UTR"
"57" "ENST00000016913.8" 0.448764919934641 "5'UTR"
"58" "ENST00000016946.8" 0.819272316770186 "5'UTR"
"59" "ENST00000017003.7" 2.22856257777778 "5'UTR"
"60" "ENST00000019103.8" 0.718397076523995 "5'UTR"
"61" "ENST00000020673.6" 1.72441014909048 "5'UTR"
"62" "ENST00000020926.8" 1.12790899004975 "5'UTR"
"63" "ENST00000020945.4" 1.59178206707317 "5'UTR"
